Income_level,Single_no_children,Married_no_children,Single_one_child,Married_one_child,Single_two_children,Married_two_children,Single_three_children,Married_three_children
9943,430.4655,529.38,3380.62,3380.62,3977.2,3977.2,4474.35,4474.35
9944,430.389,529.38,3380.96,3380.96,3977.6,3977.6,4474.8,4474.8
9945,430.3125,529.38,3381.3,3381.3,3978,3978,4475.25,4475.25
9946,430.236,529.38,3381.64,3381.64,3978.4,3978.4,4475.7,4475.7
9947,430.1595,529.38,3381.98,3381.98,3978.8,3978.8,4476.15,4476.15
9948,430.083,529.38,3382.32,3382.32,3979.2,3979.2,4476.6,4476.6
9949,430.0065,529.38,3382.66,3382.66,3979.6,3979.6,4477.05,4477.05
9950,429.93,529.38,3383,3383,3980,3980,4477.5,4477.5
9951,429.8535,529.38,3383.34,3383.34,3980.4,3980.4,4477.95,4477.95
9952,429.777,529.38,3383.68,3383.68,3980.8,3980.8,4478.4,4478.4
9953,429.7005,529.38,3384.02,3384.02,3981.2,3981.2,4478.85,4478.85
9954,429.624,529.38,3384.36,3384.36,3981.6,3981.6,4479.3,4479.3
9955,429.5475,529.38,3384.7,3384.7,3982,3982,4479.75,4479.75
9956,429.471,529.38,3385.04,3385.04,3982.4,3982.4,4480.2,4480.2
9957,429.3945,529.38,3385.38,3385.38,3982.8,3982.8,4480.65,4480.65
9958,429.318,529.38,3385.72,3385.72,3983.2,3983.2,4481.1,4481.1
9959,429.2415,529.38,3386.06,3386.06,3983.6,3983.6,4481.55,4481.55
9960,429.165,529.38,3386.4,3386.4,3984,3984,4482,4482
9961,429.0885,529.38,3386.74,3386.74,3984.4,3984.4,4482.45,4482.45
9962,429.012,529.38,3387.08,3387.08,3984.8,3984.8,4482.9,4482.9
9963,428.9355,529.38,3387.42,3387.42,3985.2,3985.2,4483.35,4483.35
9964,428.859,529.38,3387.76,3387.76,3985.6,3985.6,4483.8,4483.8
9965,428.7825,529.38,3388.1,3388.1,3986,3986,4484.25,4484.25
9966,428.706,529.38,3388.44,3388.44,3986.4,3986.4,4484.7,4484.7
9967,428.6295,529.38,3388.78,3388.78,3986.8,3986.8,4485.15,4485.15
9968,428.553,529.38,3389.12,3389.12,3987.2,3987.2,4485.6,4485.6
9969,428.4765,529.38,3389.46,3389.46,3987.6,3987.6,4486.05,4486.05
9970,428.4,529.38,3389.8,3389.8,3988,3988,4486.5,4486.5
9971,428.3235,529.38,3390.14,3390.14,3988.4,3988.4,4486.95,4486.95
9972,428.247,529.38,3390.48,3390.48,3988.8,3988.8,4487.4,4487.4
9973,428.1705,529.38,3390.82,3390.82,3989.2,3989.2,4487.85,4487.85
9974,428.094,529.38,3391.16,3391.16,3989.6,3989.6,4488.3,4488.3
9975,428.0175,529.38,3391.5,3391.5,3990,3990,4488.75,4488.75
9976,427.941,529.38,3391.84,3391.84,3990.4,3990.4,4489.2,4489.2
9977,427.8645,529.38,3392.18,3392.18,3990.8,3990.8,4489.65,4489.65
9978,427.788,529.38,3392.52,3392.52,3991.2,3991.2,4490.1,4490.1
9979,427.7115,529.38,3392.86,3392.86,3991.6,3991.6,4490.55,4490.55
9980,427.635,529.38,3393.2,3393.2,3992,3992,4491,4491
9981,427.5585,529.38,3393.54,3393.54,3992.4,3992.4,4491.45,4491.45
9982,427.482,529.38,3393.88,3393.88,3992.8,3992.8,4491.9,4491.9
9983,427.4055,529.38,3394.22,3394.22,3993.2,3993.2,4492.35,4492.35
9984,427.329,529.38,3394.56,3394.56,3993.6,3993.6,4492.8,4492.8
9985,427.2525,529.38,3394.9,3394.9,3994,3994,4493.25,4493.25
9986,427.176,529.38,3395.24,3395.24,3994.4,3994.4,4493.7,4493.7
9987,427.0995,529.38,3395.58,3395.58,3994.8,3994.8,4494.15,4494.15
9988,427.023,529.38,3395.92,3395.92,3995.2,3995.2,4494.6,4494.6
9989,426.9465,529.38,3396.26,3396.26,3995.6,3995.6,4495.05,4495.05
9990,426.87,529.38,3396.6,3396.6,3996,3996,4495.5,4495.5
9991,426.7935,529.38,3396.94,3396.94,3996.4,3996.4,4495.95,4495.95
9992,426.717,529.38,3397.28,3397.28,3996.8,3996.8,4496.4,4496.4
9993,426.6405,529.38,3397.62,3397.62,3997.2,3997.2,4496.85,4496.85
9994,426.564,529.38,3397.96,3397.96,3997.6,3997.6,4497.3,4497.3
9995,426.4875,529.38,3398.3,3398.3,3998,3998,4497.75,4497.75
9996,426.411,529.38,3398.64,3398.64,3998.4,3998.4,4498.2,4498.2
9997,426.3345,529.38,3398.98,3398.98,3998.8,3998.8,4498.65,4498.65
9998,426.258,529.38,3399.32,3399.32,3999.2,3999.2,4499.1,4499.1
9999,426.1815,529.38,3399.66,3399.66,3999.6,3999.6,4499.55,4499.55
10000,426.105,529.38,3400,3400,4000,4000,4500,4500
10001,426.0285,529.38,3400.34,3400.34,4000.4,4000.4,4500.45,4500.45
10002,425.952,529.38,3400.68,3400.68,4000.8,4000.8,4500.9,4500.9
10003,425.8755,529.38,3401.02,3401.02,4001.2,4001.2,4501.35,4501.35
10004,425.799,529.38,3401.36,3401.36,4001.6,4001.6,4501.8,4501.8
10005,425.7225,529.38,3401.7,3401.7,4002,4002,4502.25,4502.25
10006,425.646,529.38,3402.04,3402.04,4002.4,4002.4,4502.7,4502.7
10007,425.5695,529.38,3402.38,3402.38,4002.8,4002.8,4503.15,4503.15
10008,425.493,529.38,3402.72,3402.72,4003.2,4003.2,4503.6,4503.6
10009,425.4165,529.38,3403.06,3403.06,4003.6,4003.6,4504.05,4504.05
10010,425.34,529.38,3403.4,3403.4,4004,4004,4504.5,4504.5
10011,425.2635,529.38,3403.74,3403.74,4004.4,4004.4,4504.95,4504.95
10012,425.187,529.38,3404.08,3404.08,4004.8,4004.8,4505.4,4505.4
10013,425.1105,529.38,3404.42,3404.42,4005.2,4005.2,4505.85,4505.85
10014,425.034,529.38,3404.76,3404.76,4005.6,4005.6,4506.3,4506.3
10015,424.9575,529.38,3405.1,3405.1,4006,4006,4506.75,4506.75
10016,424.881,529.38,3405.44,3405.44,4006.4,4006.4,4507.2,4507.2
10017,424.8045,529.38,3405.78,3405.78,4006.8,4006.8,4507.65,4507.65
10018,424.728,529.38,3406.12,3406.12,4007.2,4007.2,4508.1,4508.1
10019,424.6515,529.38,3406.46,3406.46,4007.6,4007.6,4508.55,4508.55
10020,424.575,529.38,3406.8,3406.8,4008,4008,4509,4509
10021,424.4985,529.38,3407.14,3407.14,4008.4,4008.4,4509.45,4509.45
10022,424.422,529.38,3407.48,3407.48,4008.8,4008.8,4509.9,4509.9
10023,424.3455,529.38,3407.82,3407.82,4009.2,4009.2,4510.35,4510.35
10024,424.269,529.38,3408.16,3408.16,4009.6,4009.6,4510.8,4510.8
10025,424.1925,529.38,3408.5,3408.5,4010,4010,4511.25,4511.25
10026,424.116,529.38,3408.84,3408.84,4010.4,4010.4,4511.7,4511.7
10027,424.0395,529.38,3409.18,3409.18,4010.8,4010.8,4512.15,4512.15
10028,423.963,529.38,3409.52,3409.52,4011.2,4011.2,4512.6,4512.6
10029,423.8865,529.38,3409.86,3409.86,4011.6,4011.6,4513.05,4513.05
10030,423.81,529.38,3410.2,3410.2,4012,4012,4513.5,4513.5
10031,423.7335,529.38,3410.54,3410.54,4012.4,4012.4,4513.95,4513.95
10032,423.657,529.38,3410.88,3410.88,4012.8,4012.8,4514.4,4514.4
10033,423.5805,529.38,3411.22,3411.22,4013.2,4013.2,4514.85,4514.85
10034,423.504,529.38,3411.56,3411.56,4013.6,4013.6,4515.3,4515.3
10035,423.4275,529.38,3411.9,3411.9,4014,4014,4515.75,4515.75
10036,423.351,529.38,3412.24,3412.24,4014.4,4014.4,4516.2,4516.2
